host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n
1784021360.140,146956000,59,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784021360.202,147006000,64,1,0,0,10.0,25.0,10.0,25.0,8.717378616333008,25.38127899169922,-0.38127899169921875,36.549232482910156,48.78462600708008,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,-1.0119386911392212,,,,,,,,,,,,,,,,
1784021360.202,147016000,65,1,1,4,10.0,25.0,10.0,25.0,8.708941459655762,25.381877899169922,-0.3818780183792114,45.57679748535156,58.87966537475586,0.0,0.0,0.0,0.0,0.7799999713897705,0.31589195132255554,1.2761367559432983,,,,,,,,,,,,,,,,
1784021360.216,147026000,66,1,2,0,10.0,25.0,10.0,25.0,9.07162094116211,25.111515045166016,-0.11151432991027832,48.217979431152344,52.03693771362305,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,-1.4029924869537354,,,,,,,,,,,,,,,,
1784021360.222,147036000,67,1,3,0,10.0,25.0,10.0,25.0,8.936867713928223,25.480073928833008,-0.4800736904144287,40.03584289550781,55.75386428833008,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,1.1327170133590698,,,,,,,,,,,,,,,,
1784021360.236,147046000,68,2,255,0,,,,,,,,,,,,,,,,,0.20000000298023224,0.0,3.0214285850524902,2.4571428298950195,3.0214285850524902,2.4571428298950195,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784021360.277,147096000,73,1,0,0,10.0,25.0,10.0,25.0,8.682585716247559,25.441011428833008,-0.44101178646087646,35.192527770996094,48.78462600708008,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,-0.9671884775161743,,,,,,,,,,,,,,,,
1784021360.296,147106000,74,1,1,4,10.0,25.0,10.0,25.0,8.656205177307129,25.431499481201172,-0.4314988851547241,44.57338333129883,59.27661895751953,0.0,0.0,0.0,0.0,0.7799999713897705,0.33709681034088135,1.239165186882019,,,,,,,,,,,,,,,,
1784021360.301,147116000,75,1,2,0,10.0,25.0,10.0,25.0,9.016879081726074,25.148326873779297,-0.14832615852355957,47.21464920043945,52.03693771362305,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,-1.3665907382965088,,,,,,,,,,,,,,,,
1784021360.317,147126000,76,1,3,0,10.0,25.0,10.0,25.0,8.978302001953125,25.50424575805664,-0.5042463541030884,40.44677734375,55.75386428833008,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,1.1513148546218872,,,,,,,,,,,,,,,,
