host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,error_x_cm,knee_torque_limit_nm,x_alignment,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n,gait_rear_x_safety_relief_cm,gait_rear_x_safety_relief_cmps,gait_sync_mps,att_enabled,att_imu_valid,att_zero_valid,att_mode,att_support_projection_mode,att_force_solution_ok,att_stance_leg_count,att_bump_request,att_roll_zero_deg,att_pitch_zero_deg,att_roll_err_deg,att_pitch_err_deg,att_roll_moment_cmd_nm,att_pitch_moment_cmd_nm,att_accel_dev_mps2,att_gyro_abs_dps,att_roll_raw_deg,att_pitch_raw_deg,att_accel_abs_mps2
1784053970.067,199215000,181,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,-1.5015161037445068,0.23988240957260132,0.03695225715637207,-0.03600277006626129,0.0,0.0,0.1294698715209961,0.0072422390803694725,-1.4645638465881348,0.20387963950634003,9.939470291137695
1784053970.159,199301000,186,1,0,0,10.0,25.0,10.0,25.0,8.87410831451416,25.39552116394043,-0.39552152156829834,31.909578323364258,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.8864580392837524,1.1258907318115234,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.192,199323000,187,1,1,0,10.0,25.0,10.0,25.0,8.931295394897461,25.27426528930664,-0.2742648124694824,39.496761322021484,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.123785376548767,1.0687038898468018,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.213,199346000,188,1,2,0,10.0,25.0,10.0,25.0,9.245482444763184,25.04656219482422,-0.046563148498535156,45.32405471801758,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.3330645561218262,0.7545166015625,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.214,199372000,189,1,3,0,10.0,25.0,10.0,25.0,8.856490135192871,25.500080108642578,-0.5000799894332886,34.90192794799805,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.9720348715782166,1.1435091495513916,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.242,199392000,190,2,255,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.02652500569820404,-0.01985694095492363,0.04008076339960098,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1784053970.269,199405000,191,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,-1.5015161037445068,0.23988240957260132,0.05192911624908447,-0.028203696012496948,0.0,0.0,0.08612823486328125,0.0026900027878582478,-1.4495869874954224,0.21167871356010437,9.89612865447998
1784053970.358,199497000,196,1,0,0,10.0,25.0,10.0,25.0,8.876781463623047,25.392797470092773,-0.392797589302063,31.918500900268555,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.886760413646698,1.123218297958374,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.387,199522000,197,1,1,0,10.0,25.0,10.0,25.0,8.932127952575684,25.273975372314453,-0.2739757299423218,39.333778381347656,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.1182897090911865,1.0678715705871582,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.387,199549000,198,1,2,0,10.0,25.0,10.0,25.0,9.243545532226562,25.04822540283203,-0.048226118087768555,45.44742965698242,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.3368245363235474,0.7564537525177002,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
